metabolite_id,metabolite_name,relation_gene,mpi_source,mpi_weight
SIMMET0001,Choline,CHKA,HMDB_mock,0.95
SIMMET0001,Choline,CHKA,STITCH_mock,0.70
SIMMET0001,Choline,SLC44A1,HMDB_mock,0.88
SIMMET0001,Choline,SLC44A2,STITCH_mock,0.79
SIMMET0001,Choline,PCYT1A,HMDB_mock,0.83
SIMMET0002,L-Carnitine,SLC22A5,HMDB_mock,0.96
SIMMET0002,L-Carnitine,CPT1A,STITCH_mock,0.91
SIMMET0002,L-Carnitine,CPT2,HMDB_mock,0.92
SIMMET0002,L-Carnitine,CRAT,HMDB_mock,0.87
SIMMET0003,Acetylcarnitine,CRAT,HMDB_mock,0.94
SIMMET0003,Acetylcarnitine,CPT2,STITCH_mock,0.84
SIMMET0003,Acetylcarnitine,ACSS2,STITCH_mock,0.72
SIMMET0003,Acetylcarnitine,SLC25A20,HMDB_mock,0.89
SIMMET0004,Lactate,LDHA,HMDB_mock,0.95
SIMMET0004,Lactate,LDHC,HMDB_mock,0.98
SIMMET0004,Lactate,SLC16A1,STITCH_mock,0.86
SIMMET0004,Lactate,SLC16A3,STITCH_mock,0.82
SIMMET0005,Pyruvate,MPC1,HMDB_mock,0.91
SIMMET0005,Pyruvate,MPC2,HMDB_mock,0.88
SIMMET0005,Pyruvate,PDHA1,STITCH_mock,0.94
SIMMET0005,Pyruvate,PKM,STITCH_mock,0.85
SIMMET0006,Citrate,CS,HMDB_mock,0.96
SIMMET0006,Citrate,SLC25A1,HMDB_mock,0.90
SIMMET0006,Citrate,ACLY,STITCH_mock,0.89
SIMMET0006,Citrate,IDH2,STITCH_mock,0.81
SIMMET0007,Glutathione,GCLC,HMDB_mock,0.98
SIMMET0007,Glutathione,GCLM,HMDB_mock,0.91
SIMMET0007,Glutathione,GSS,HMDB_mock,0.96
SIMMET0007,Glutathione,GSTP1,STITCH_mock,0.88
SIMMET0008,Taurine,SLC6A6,HMDB_mock,0.95
SIMMET0008,Taurine,CSAD,HMDB_mock,0.90
SIMMET0008,Taurine,CDO1,STITCH_mock,0.82
SIMMET0008,Taurine,GADL1,STITCH_mock,0.70
SIMMET0009,Spermidine,ODC1,HMDB_mock,0.93
SIMMET0009,Spermidine,SRM,HMDB_mock,0.91
SIMMET0009,Spermidine,SAT1,STITCH_mock,0.85
SIMMET0009,Spermidine,SMOX,STITCH_mock,0.83
SIMMET0010,Adenosine,ADORA2A,HMDB_mock,0.96
SIMMET0010,Adenosine,ADCY10,STITCH_mock,0.76
SIMMET0010,Adenosine,AKT1,STITCH_mock,0.73
SIMMET0010,Adenosine,HSP90AA1,STITCH_mock,0.65

