gene_a,gene_b,ppi_source,ppi_score
CHKA,PRKACA,STRING_mock,0.78
PRKACA,CHKA,BioGRID_mock,0.74
CHKA,AKAP3,STRING_mock,0.63
SLC44A1,CFTR,STRING_mock,0.72
SLC44A2,CATSPER1,STRING_mock,0.66
PCYT1A,AKAP4,STRING_mock,0.58
CHKA,ACLY,STRING_mock,0.71
PCYT1A,FASN,STRING_mock,0.61
CPT1A,ACACA,STRING_mock,0.75
CPT1A,SREBF1,STRING_mock,0.70
CPT1A,CPT2,STRING_mock,0.93
CPT2,ATP5F1A,STRING_mock,0.86
CRAT,ATP5F1B,STRING_mock,0.81
SLC22A5,TOMM20,STRING_mock,0.67
CPT2,NDUFS1,STRING_mock,0.70
CRAT,COX4I1,STRING_mock,0.65
SLC25A20,TOMM20,STRING_mock,0.84
SLC25A20,CPT2,STRING_mock,0.89
ACSS2,ACLY,STRING_mock,0.82
ACSS2,FASN,STRING_mock,0.69
LDHA,LDHC,STRING_mock,0.90
LDHA,PRKACA,STRING_mock,0.67
LDHC,AKAP4,STRING_mock,0.82
SLC16A1,CATSPER2,STRING_mock,0.65
SLC16A3,DNAH1,STRING_mock,0.55
LDHA,PDHA1,STRING_mock,0.80
SLC16A3,NDUFS1,STRING_mock,0.58
MPC1,TOMM20,STRING_mock,0.88
MPC2,COX4I1,STRING_mock,0.75
PDHA1,ATP5F1A,STRING_mock,0.85
PKM,NDUFS1,STRING_mock,0.70
PKM,DNAH1,STRING_mock,0.40
CS,IDH2,STRING_mock,0.86
SLC25A1,TOMM20,STRING_mock,0.79
ACLY,ACACA,STRING_mock,0.91
ACLY,FASN,STRING_mock,0.88
IDH2,NFE2L2,STRING_mock,0.65
GCLM,NFE2L2,STRING_mock,0.92
GCLC,GPX4,STRING_mock,0.85
GSS,PRDX6,STRING_mock,0.72
GSTP1,SOD1,STRING_mock,0.66
GCLC,GSS,BioGRID_mock,0.80
SLC6A6,GPX4,STRING_mock,0.78
CSAD,NFE2L2,STRING_mock,0.62
CDO1,CAT,STRING_mock,0.70
GADL1,PRDX6,STRING_mock,0.55
ODC1,CREM,STRING_mock,0.72
SRM,TNP1,STRING_mock,0.67
SAT1,PRM1,STRING_mock,0.61
SMOX,SPATA16,STRING_mock,0.56
SMOX,GPX4,STRING_mock,0.64
ADORA2A,ADCY10,STRING_mock,0.90
ADORA2A,PRKACA,STRING_mock,0.82
ADCY10,CATSPER1,STRING_mock,0.88
AKT1,CFTR,STRING_mock,0.76
AKT1,PRKACA,STRING_mock,0.91
HSP90AA1,CATSPER1,STRING_mock,0.74
HSP90AA1,PRKACA,STRING_mock,0.89
HSP90AA1,AKAP4,STRING_mock,0.72
HSP90AA1,ADCY10,STRING_mock,0.81
HSP90AA1,CFTR,STRING_mock,0.69
HSP90AA1,NFE2L2,STRING_mock,0.77
HSP90AA1,GPX4,STRING_mock,0.71
HSP90AA1,CREM,STRING_mock,0.66
HSP90AA1,ATP5F1A,STRING_mock,0.73
HSP90AA1,ACLY,STRING_mock,0.70
AKT1,MAPK1,STRING_mock,0.96
AKT1,HSP90AA1,STRING_mock,0.92
MAPK1,PRKACA,STRING_mock,0.87
MAPK1,NFE2L2,STRING_mock,0.75
NFE2L2,SOD1,STRING_mock,0.83
NFE2L2,GPX4,STRING_mock,0.88
PRKACA,ADCY10,STRING_mock,0.90
PRKACA,AKAP3,STRING_mock,0.85
PRKACA,CABYR,STRING_mock,0.79
CATSPER1,CATSPER2,STRING_mock,0.84
ATP5F1A,ATP5F1B,STRING_mock,0.95
ATP5F1A,NDUFS1,STRING_mock,0.82
ACLY,SREBF1,STRING_mock,0.86
CREM,TNP1,STRING_mock,0.91
CREM,PRM1,STRING_mock,0.88

